cycle,stage,L_grip_A,strain_percent,energy_eV,max_nn_A,nn0_A,fracture_thr_A,broken
0,relax,8.099999999999994,0.0,-16469.067143185093,2.8918858810811794,2.8637824638055194,8.591347391416559,0
1,stretch,8.180999999999997,1.0000000000000453,-16469.482023246994,2.9051006520613303,2.8637824638055194,8.591347391416559,0
1,relax,8.180999999999997,1.0000000000000453,-16469.489677108177,2.9041784908548194,2.8637824638055194,8.591347391416559,0
2,stretch,8.262809999999998,2.010000000000045,-16469.54473627239,2.907338727122952,2.8637824638055194,8.591347391416559,0
2,relax,8.262809999999998,2.010000000000045,-16469.64953598186,2.891109389473338,2.8637824638055194,8.591347391416559,0
3,stretch,8.345438100000003,3.030100000000102,-16469.41002716388,2.9113125073912185,2.8637824638055194,8.591347391416559,0
3,relax,8.345438100000003,3.030100000000102,-16469.496454558204,2.912463357890269,2.8637824638055194,8.591347391416559,0
4,stretch,8.428892481000002,4.060401000000091,-16468.955609721514,2.927498459564333,2.8637824638055194,8.591347391416559,0
4,relax,8.428892481000002,4.060401000000091,-16468.969094802134,2.927363941654314,2.8637824638055194,8.591347391416559,0
5,stretch,8.513181405810002,5.101005010000104,-16468.076251618037,2.948630269790457,2.8637824638055194,8.591347391416559,0
5,relax,8.513181405810002,5.101005010000104,-16468.243999262686,2.9379879694633577,2.8637824638055194,8.591347391416559,0
6,stretch,8.598313219868103,6.152015060100124,-16467.09372487862,2.9379895990739135,2.8637824638055194,8.591347391416559,0
6,relax,8.598313219868103,6.152015060100124,-16467.106298538034,2.936557544775751,2.8637824638055194,8.591347391416559,0
7,stretch,8.68429635206678,7.213535210701072,-16465.603089554505,2.936558541050749,2.8637824638055194,8.591347391416559,0
7,relax,8.68429635206678,7.213535210701072,-16465.764151225776,2.928343052756665,2.8637824638055194,8.591347391416559,0
8,stretch,8.771139315587451,8.28567056280811,-16463.99683535911,2.9283437615955434,2.8637824638055194,8.591347391416559,0
8,relax,8.771139315587451,8.28567056280811,-16464.01075796813,2.926668261986851,2.8637824638055194,8.591347391416559,0
9,stretch,8.85885070874333,9.368527268436244,-16461.89171965903,2.9266689837821205,2.8637824638055194,8.591347391416559,0
9,relax,8.85885070874333,9.368527268436244,-16462.1201955648,2.906629984692331,2.8637824638055194,8.591347391416559,0
10,stretch,8.947439215830762,10.462212541120607,-16459.79371049219,2.906630090961856,2.8637824638055194,8.591347391416559,0
10,relax,8.947439215830762,10.462212541120607,-16459.798029128215,2.906269983987825,2.8637824638055194,8.591347391416559,0
11,stretch,9.03691360798907,11.566834666531811,-16457.117608386576,2.906270087054136,2.8637824638055194,8.591347391416559,0
11,relax,9.03691360798907,11.566834666531811,-16457.250172931672,2.9054160743368067,2.8637824638055194,8.591347391416559,0
12,stretch,9.127282744068971,12.682503013197245,-16454.33305819271,2.9054187747300335,2.8637824638055194,8.591347391416559,0
12,relax,9.127282744068971,12.682503013197245,-16454.34908155379,2.906224780811594,2.8637824638055194,8.591347391416559,0
13,stretch,9.218555571509654,13.809328043329149,-16451.08675861403,2.90622778420473,2.8637824638055194,8.591347391416559,0
13,relax,9.218555571509654,13.809328043329149,-16451.308384620475,2.919156660182271,2.8637824638055194,8.591347391416559,0
14,stretch,9.310741127224752,14.947421323762455,-16447.834207069092,2.919164990164639,2.8637824638055194,8.591347391416559,0
14,relax,9.310741127224752,14.947421323762455,-16447.941052763465,2.92607072404092,2.8637824638055194,8.591347391416559,0
15,stretch,9.403848538496995,16.096895537000023,-16444.21611798141,2.926083061106107,2.8637824638055194,8.591347391416559,0
15,relax,9.403848538496995,16.096895537000023,-16444.384505958198,2.9405700328422535,2.8637824638055194,8.591347391416559,0
16,stretch,9.497887023881969,17.25786449237008,-16440.448645052707,2.946769328621536,2.8637824638055194,8.591347391416559,0
16,relax,9.497887023881969,17.25786449237008,-16440.549948780423,2.9439770755691295,2.8637824638055194,8.591347391416559,0
17,stretch,9.592865894120791,18.430443137293807,-16436.34958449966,2.9439826986957365,2.8637824638055194,8.591347391416559,0
17,relax,9.592865894120791,18.430443137293807,-16438.313507689425,2.8780092807060766,2.8637824638055194,8.591347391416559,0
18,stretch,9.688794553062,19.614747568666747,-16433.75601857288,2.87801069719348,2.8637824638055194,8.591347391416559,0
18,relax,9.688794553062,19.614747568666747,-16433.761474870593,2.877762613050489,2.8637824638055194,8.591347391416559,0
19,stretch,9.785682498592617,20.810895044353384,-16428.884597979064,2.8777640626338825,2.8637824638055194,8.591347391416559,0
19,relax,9.785682498592617,20.810895044353384,-16429.09286832747,2.8781072083629917,2.8637824638055194,8.591347391416559,0
20,stretch,9.883539323578553,22.01900399479704,-16424.04040364546,2.878111076101892,2.8637824638055194,8.591347391416559,0
20,relax,9.883539323578553,22.01900399479704,-16424.25757363568,2.879937504289142,2.8637824638055194,8.591347391416559,0
21,stretch,9.982374716814338,23.23919403474499,-16419.067243544378,2.87993751820418,2.8637824638055194,8.591347391416559,0
21,relax,9.982374716814338,23.23919403474499,-16419.072967446024,2.8797973469711975,2.8637824638055194,8.591347391416559,0
22,stretch,10.082198463982479,24.471585975092424,-16413.585292278076,2.8797973644216865,2.8637824638055194,8.591347391416559,0
22,relax,10.082198463982479,24.471585975092424,-16413.994098021652,2.880253061087998,2.8637824638055194,8.591347391416559,0
23,stretch,10.183020448622297,25.716301834843257,-16408.48512846426,2.8802666955428626,2.8637824638055194,8.591347391416559,0
23,relax,10.183020448622297,25.716301834843257,-16408.489970666105,2.8802445444797464,2.8637824638055194,8.591347391416559,0
24,stretch,10.284850653108524,26.973464853191743,-16402.689772768303,2.88025814503535,2.8637824638055194,8.591347391416559,0
24,relax,10.284850653108524,26.973464853191743,-16403.032603079482,2.9079222009916705,2.8637824638055194,8.591347391416559,0
25,stretch,10.38769915963961,28.24319950172367,-16397.193736140664,2.9079953218581176,2.8637824638055194,8.591347391416559,0
25,relax,10.38769915963961,28.24319950172367,-16397.19792151057,2.9075468787701086,2.8637824638055194,8.591347391416559,0
26,stretch,10.491576151236014,29.525631496741013,-16391.089791952414,2.907620898203108,2.8637824638055194,8.591347391416559,0
26,relax,10.491576151236014,29.525631496741013,-16391.09675960858,2.907265981634609,2.8637824638055194,8.591347391416559,0
27,stretch,10.596491912748377,30.82088781170844,-16384.738979880454,2.9073409650454125,2.8637824638055194,8.591347391416559,0
27,relax,10.596491912748377,30.82088781170844,-16385.31985193063,2.9031398322907305,2.8637824638055194,8.591347391416559,0
28,stretch,10.70245683187586,32.12909668982553,-16378.989986200333,2.903240010786896,2.8637824638055194,8.591347391416559,0
28,relax,10.70245683187586,32.12909668982553,-16379.12867123163,2.9142848075744543,2.8637824638055194,8.591347391416559,0
29,stretch,10.809481400194617,33.45038765672377,-16372.658129262802,2.9144038788318314,2.8637824638055194,8.591347391416559,0
29,relax,10.809481400194617,33.45038765672377,-16374.469955818231,2.9134746283178403,2.8637824638055194,8.591347391416559,0
30,stretch,10.917576214196565,34.78489153329103,-16368.865222077075,2.914846161807391,2.8637824638055194,8.591347391416559,0
30,relax,10.917576214196565,34.78489153329103,-16368.882855171962,2.9144868405884816,2.8637824638055194,8.591347391416559,0
31,stretch,11.026751976338534,36.13274044862398,-16363.10823979375,2.915896108030527,2.8637824638055194,8.591347391416559,0
31,relax,11.026751976338534,36.13274044862398,-16366.606986708839,2.932169694493419,2.8637824638055194,8.591347391416559,0
32,stretch,11.137019496101917,37.49406785311018,-16362.231243061628,2.932186788203641,2.8637824638055194,8.591347391416559,0
32,relax,11.137019496101917,37.49406785311018,-16373.15478073942,2.985632818695422,2.8637824638055194,8.591347391416559,0
33,stretch,11.248389691062936,38.86900853164128,-16370.713919869795,2.985685628042861,2.8637824638055194,8.591347391416559,0
33,relax,11.248389691062936,38.86900853164128,-16370.922611046557,2.9918404184411056,2.8637824638055194,8.591347391416559,0
34,stretch,11.360873587973565,40.2576986169577,-16368.335828670397,2.9944372466524887,2.8637824638055194,8.591347391416559,0
34,relax,11.360873587973565,40.2576986169577,-16369.739776858381,2.963133139670366,2.8637824638055194,8.591347391416559,0
35,stretch,11.474482323853305,41.66027560312733,-16367.601506519506,2.9640372961827532,2.8637824638055194,8.591347391416559,0
